Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
ACBD3	10	-0.499	0.687596209	-0.871	0.427990006	-0.246	0.963835017	-0.368	0.924055669
ACBD4	10	-1.009	0.036654045	-1.629	0.020211265	-0.589	0.058312481	-0.952	0.206787921
ACBD5	9	-0.093	0.852056822	-0.135	0.568323213	0.328	0.090031388	-0.175	0.636300959
ACBD6	9	0.261	0.120841897	0.006	0.587408656	0.072	0.763901069	0.034	0.930884832
ACBD7	9	0.326	0.106272481	0.204	0.515795959	0.317	0.554646198	0.484	0.055625218
ACCS	9	-0.369	0.458473102	-0.419	0.601749039	0.247	0.767360132	-0.458	0.7647244
ACCSL	10	0.124	0.460070907	-0.418	0.936472061	-0.006	0.955478651	-0.154	0.642400589
ACD	9	-0.551	0.756190519	-1.570	0.07980734	-0.451	0.752902163	-0.973	0.436047524
ACE	9	-0.200	0.64348942	-0.468	0.310355597	-0.135	0.966310621	-0.095	0.989864137
ACE2	8	0.236	0.476004518	0.392	0.245792606	0.006	0.912521947	0.626	0.030481483
ACER1	9	0.034	0.430950303	-0.348	0.730189524	-0.034	0.971860561	-0.426	0.438751279
ACER2	9	0.086	0.722919901	0.362	0.085536353	-0.225	0.853390503	0.422	0.176269063
ACER3	10	-0.119	0.897765151	-0.219	0.72984256	0.144	0.431776218	0.023	0.871716197
ACHE	10	-0.189	0.530598105	-0.423	0.557037026	0.119	0.909165165	-0.167	0.678781666
ACIN1	8	-1.729	0.000906735	-1.471	0.017608217	-1.633	0.002189999	-1.275	0.013065668
ACKR2	10	-0.066	0.982836931	-0.026	0.882269716	0.298	0.532229478	0.008	0.981384656
ACKR3	9	0.145	0.338244345	0.179	0.461195987	-0.006	0.901485292	-0.094	0.810302669
ACKR4	9	0.163	0.738037616	0.201	0.6815434	0.043	0.904278373	-0.367	0.763833301
ACLY	10	-1.914	0.000240703	-1.196	0.049559399	-1.090	0.009668805	-1.979	0.000815928
ACMSD	9	-0.264	0.969612316	-0.164	0.980434869	0.021	0.894111374	-0.074	0.999974701
ACN9	10	0.348	0.066578645	0.306	0.461666515	-0.033	0.628653462	0.161	0.374586039
ACO1	10	-0.020	0.219737799	-0.238	0.533201089	-0.042	0.750145154	0.063	0.414988029
ACO2	9	-3.000	5.51E-05	-2.346	0.001154606	-1.525	0.000760494	-1.431	0.000182937
ACOT1	10	0.411	0.077858446	0.352	0.103293934	-0.018	0.999981366	-0.029	0.855099775
ACOT11	10	-0.212	0.359332302	-0.434	0.412310825	-0.224	0.862916738	-0.324	0.369046377
ACOT12	10	0.171	0.353876596	-0.185	0.950933397	0.066	0.751026444	0.069	0.806563409
ACOT13	9	0.332	0.118135798	0.449	0.151302434	0.308	0.545439456	0.365	0.387670876
ACOT2	10	-0.155	0.920247428	-0.810	0.993619481	0.178	0.703885856	-0.055	0.980271779
ACOT4	9	0.204	0.308699801	-0.197	0.304245719	0.132	0.417626008	-0.027	0.533428666
ACOT6	10	0.121	0.264840768	0.091	0.670112913	-0.117	0.972695133	-0.012	0.446058909
ACOT7	9	-0.076	0.955371228	-0.407	0.856465172	-0.499	0.06437611	-0.535	0.323218579
ACOT8	10	-0.425	0.82798399	-0.074	0.884164159	-0.164	0.966314787	-0.280	0.838436534
ACOT9	7	0.529	0.077832468	0.278	0.369084287	-0.009	0.995593043	0.169	0.665146157
ACOX1	9	0.222	0.479681596	0.194	0.492238757	-0.103	0.892873934	0.459	0.354431102
ACOX2	10	-0.502	0.499817698	-0.009	0.859494617	0.127	0.746307298	0.338	0.312763675
ACOX3	9	-0.021	0.798494194	-0.404	0.645862067	0.126	0.741202843	0.386	0.348707548
ACOXL	10	0.026	0.909143248	-0.407	0.518813015	0.201	0.522941579	0.056	0.738309771
ACP1	10	0.269	0.192192788	0.376	0.082625087	0.142	0.821841887	0.198	0.672099265
ACP2	9	-0.049	0.864096533	-0.251	0.661088343	0.327	0.303712641	-0.169	0.518540184
ACP5	7	-0.228	0.999390065	-0.731	0.451212915	-0.573	0.397917005	-0.405	0.575868048
ACP6	10	0.070	0.550740274	-0.227	0.982233191	-0.308	0.731876597	0.110	0.616514542
ACPL2	8	0.195	0.517760472	-0.319	0.662446453	0.004	0.966314787	0.184	0.699691182
ACPP	10	-0.305	0.999390065	-0.332	0.617564527	-0.512	0.563597626	0.028	0.66210445
ACPT	8	-0.160	0.599889399	-0.247	0.790633218	0.134	0.758006974	-0.063	0.488250473
ACR	10	-0.457	0.295330675	-0.369	0.738695636	0.100	0.92880198	0.025	0.97932838
ACRBP	10	-1.052	0.336504506	-1.379	0.259240924	-0.596	0.845842494	-0.861	0.566432448
ACRC	8	0.063	0.598260938	0.266	0.417049069	0.384	0.047208373	0.390	0.29566704
ACRV1	9	0.678	0.000530802	0.738	0.000772618	0.426	0.021071167	0.526	0.030635683
ACSBG1	8	-0.910	0.065544071	-0.481	0.930541517	0.180	0.937595085	0.110	0.806882004
ACSBG2	10	0.337	0.08683688	0.224	0.378469741	0.159	0.934747234	0.042	0.945330024
ACSF2	10	-0.440	0.77576486	-1.443	0.531932674	-0.142	0.585283957	-0.591	0.982085285
ACSF3	9	-0.068	0.90092644	-0.519	0.64488714	0.272	0.394808336	-0.177	0.92246609
ACSL1	10	0.298	0.06356066	0.135	0.617759219	0.016	0.922833384	-1.759	0.000773718
ACSL3	9	0.313	0.041644248	-0.460	0.822828568	-0.323	0.999981366	0.198	0.517037685
ACSL4	10	-0.039	0.904889554	0.066	0.503203098	-0.222	0.801768315	0.828	0.000854884
ACSL5	9	0.298	0.059410153	0.284	0.399343583	0.424	0.176099433	0.475	0.169138729
ACSL6	9	-0.255	0.952088328	-0.681	0.50426769	0.252	0.185412977	-0.022	0.984855901
ACSM1	9	0.054	0.85058109	-0.445	0.184733378	-0.025	0.971860561	0.093	0.484815991
ACSM2A	10	0.166	0.415163421	0.106	0.237773382	0.299	0.512206314	0.043	0.842420946
ACSM2B	9	0.224	0.134728071	0.601	0.0290631	0.283	0.586654238	0.586	0.006509423
ACSM3	8	-0.460	0.960169814	-0.446	0.74123937	0.031	0.598024271	0.100	0.782270778
ACSM4	10	-0.346	0.698600574	-0.240	0.900211718	0.061	0.798867532	0.128	0.803382453
ACSM5	8	0.119	0.457714312	-0.300	0.865599462	-0.091	0.988784832	0.050	0.877988469
ACSS1	10	0.160	0.455844604	-0.292	0.318887595	0.110	0.79589244	0.006	0.758410624
ACSS2	10	-0.101	0.966341048	-0.080	0.968657302	0.387	0.220167527	-0.166	0.943266545
ACSS3	10	0.142	0.532379641	0.111	0.513526635	0.156	0.465220387	0.163	0.20975667
ACTA1	8	0.001	0.795622983	-0.049	0.815008854	-0.016	0.995663252	-0.134	0.942143068
ACTA2	10	-0.390	0.473846099	-0.643	0.995666069	0.072	0.810525389	0.123	0.674134929
ACTB	10	-1.648	0.000273834	0.010	0.621144185	-0.379	0.342642178	-1.302	0.018835723
ACTBL2	10	0.171	0.350082871	-0.273	0.945042709	-0.032	0.904455496	-0.163	0.935526809
ACTC1	10	0.044	0.50278582	-0.216	0.724049363	-0.217	0.892873934	-0.348	0.760098642
ACTG1	10	-0.968	0.078548826	-1.102	0.22770702	-0.466	0.445853757	-0.883	0.230913334
ACTG2	9	-1.669	0.00812239	-2.114	0.091745457	-1.320	0.398246855	-1.285	0.310686087
ACTL10	10	-0.330	0.326290054	-0.119	0.932161217	-0.322	0.952265507	-0.031	0.956314818
ACTL6A	9	-1.793	0.002171943	-2.944	0.047467695	-2.739	0.000768688	-1.857	0.000427865
ACTL6B	9	-0.143	0.970331761	-0.434	0.795683014	0.393	0.1483421	0.248	0.733049439
ACTL7A	9	-0.037	0.819271678	-0.123	0.842676939	-0.238	0.955160139	-0.132	0.995517041
ACTL7B	9	-0.278	0.989804705	-0.664	0.895646922	-0.265	0.440570291	-0.318	0.941214355
ACTL8	9	0.217	0.109048631	0.017	0.769198752	0.360	0.659516405	-0.181	0.999974701
ACTL9	10	-0.069	0.781041051	-0.718	0.615802119	-0.062	0.720368447	-0.336	0.366278933
ACTN1	9	-0.196	0.789516163	-0.088	0.686424872	0.137	0.585283957	-0.237	0.495837401
ACTN2	10	-0.001	0.948684458	-0.030	0.783557282	-0.107	0.998441202	-0.147	0.588766409
ACTN4	10	-0.021	0.398515907	-0.765	0.601749039	-0.355	0.614776448	-0.685	0.689490924
ACTR10	8	-1.341	0.063710376	-2.899	0.008095609	-1.677	0.008951055	-0.741	0.081055931
ACTR1A	10	-0.945	0.004324206	-1.181	0.132609476	-1.085	0.001480203	0.089	0.47432886
ACTR1B	10	-0.592	0.76352446	-1.574	0.282350502	-0.189	0.970064546	-0.471	0.827818991
ACTR2	10	-0.956	0.009311513	-0.709	0.381659725	-0.610	0.224759601	-1.861	0.000149587
ACTR3	9	-1.090	0.010617485	-0.596	0.600406643	-0.389	0.676401962	-0.833	0.179391726
ACTR3B	9	0.071	0.664748025	-0.401	0.97145564	0.152	0.743912119	0.128	0.800737078
ACTR3C	10	-0.153	0.417043653	-0.203	0.938771433	0.017	0.930517834	-0.043	0.92246609
ACTR5	8	-1.732	0.013496922	-0.819	0.701636568	-0.366	0.956797989	-0.261	0.898932584
ACTR6	9	-1.055	0.106272481	-1.072	0.029035922	-0.917	0.047061195	-0.624	0.657060309
ACTR8	9	-1.956	0.000567815	-1.923	0.016445596	-1.686	0.011782087	-1.970	0.007052249
ACTRT1	9	-0.088	0.677933573	-0.054	0.350791884	-0.481	0.417676722	-0.296	0.470080744
ACTRT2	7	0.195	0.333973978	0.018	0.781983018	0.243	0.431349421	0.280	0.363292452
ACTRT3	10	-0.065	0.947900246	0.473	0.095642913	-0.326	0.321404959	0.167	0.670542296
ACVR1	9	-0.320	0.755878649	-0.948	0.625179256	-0.164	0.998070293	0.159	0.907730562
ACVR1B	10	-0.167	0.846329165	-0.560	0.466650502	-0.059	0.667274961	0.004	0.753098826
ACVR1C	9	0.072	0.530141166	-0.035	0.540707469	0.181	0.403324459	0.194	0.253004462
ACVR2A	9	0.089	0.564620226	0.564	0.113071645	-0.034	0.961997567	0.296	0.515708875
ACVR2B	10	-0.362	0.937681355	-1.205	0.534866892	-0.496	0.904455496	-0.690	0.631324733
ACVRL1	8	-0.243	0.943085219	-0.561	0.728117141	0.015	0.913996122	-0.202	0.886325603
ACY1	10	-0.141	0.977085897	-0.479	0.853340027	-0.240	0.901206046	-0.097	0.948860543
ACY3	9	0.197	0.738253073	-0.369	0.422185998	0.191	0.867635528	0.071	0.705759066
ACYP1	10	0.167	0.109983216	0.290	0.193196348	0.172	0.635014791	0.206	0.781385612
ACYP2	10	0.154	0.233795719	0.255	0.185686577	0.115	0.794141139	-0.060	0.889986579
ADA	8	0.015	0.728375718	-0.146	0.755013676	0.071	0.842463847	0.202	0.29915287
ADAD1	10	0.010	0.765628066	-0.164	0.480758169	-0.079	0.952402139	0.055	0.20975667
ADAD2	9	-0.277	0.653165951	-0.795	0.369084287	-0.275	0.740410738	-0.566	0.337862842
ADAL	10	0.013	0.828104618	-0.179	0.936912807	0.172	0.542653592	0.381	0.149486219
ADAM10	10	-0.124	0.81948729	-0.454	0.994967661	-0.153	0.994040675	-0.216	0.985558732
ADAM11	10	-0.345	0.776704131	-0.392	0.45946367	-0.126	0.78912377	-0.087	0.800737078
ADAM12	9	0.082	0.56608704	-0.185	0.745832525	-0.024	0.995593043	0.009	0.763339428
ADAM15	10	-0.639	0.568366006	-0.538	0.833695096	-0.669	0.770652156	-0.520	0.7325033
ADAM17	8	0.069	0.715898766	-0.004	0.503070445	0.067	0.691580229	-0.156	0.507282437
ADAM18	9	-0.024	0.784795789	0.095	0.062110136	-0.143	0.818380796	0.174	0.187752821
ADAM19	10	-0.121	0.929366184	-0.328	0.998846418	-0.055	0.925513821	0.061	0.768587679
ADAM2	9	0.235	0.212636511	0.055	0.634786683	0.088	0.75679147	0.212	0.184645248
ADAM20	9	0.172	0.351139371	0.017	0.509393652	-0.144	0.958444821	-0.037	0.963831638
ADAM21	10	0.323	0.115175551	0.439	0.218164717	0.057	0.941531986	-0.065	0.789856636
ADAM22	10	0.085	0.034008831	-0.386	0.706458411	0.261	0.330687936	0.091	0.644483155
ADAM23	10	-0.258	0.681496514	0.109	0.205954164	0.174	0.845763999	0.085	0.874626214
ADAM28	9	-0.139	0.96832251	0.231	0.389595907	0.145	0.52308273	0.412	0.3296147
ADAM29	10	0.412	0.086230251	0.281	0.228120812	-0.017	0.990492499	0.152	0.088232127
ADAM30	10	0.037	0.669012264	-0.606	0.183512018	0.019	0.82334088	-0.138	0.793091439
ADAM32	10	0.199	0.218427367	0.103	0.434058908	-0.097	0.887530027	0.281	0.101902317
ADAM33	10	-0.817	0.864616034	-0.923	0.649085797	-0.418	0.88793622	-0.465	0.974023938
ADAM7	10	-0.162	0.648687652	0.522	0.063243165	0.446	0.23433407	0.376	0.106274559
ADAM8	10	0.036	0.899963139	-0.429	0.910464681	-0.308	0.56047312	0.214	0.816575719
ADAM9	9	-0.136	0.85004768	0.285	0.182356235	0.347	0.385226082	0.308	0.717264133
ADAMDEC1	10	0.027	0.733507574	0.302	0.211826948	0.183	0.810525389	0.175	0.395080277
ADAMTS1	10	-0.062	0.499817698	-0.019	0.682458844	0.024	0.967275209	-0.053	0.988974156
ADAMTS10	10	-0.277	0.751256493	-0.152	0.698818695	0.070	0.828851721	-0.360	0.443376067
ADAMTS12	10	-0.251	0.843314233	-0.185	0.434835573	-0.109	0.780866562	-0.116	0.710166816
ADAMTS13	9	-0.193	0.993191389	-0.622	0.929300883	0.077	0.405989715	-0.333	0.692227989
ADAMTS14	8	-0.634	0.051600132	-1.697	0.054153678	-0.060	0.715660525	-0.338	0.915001571
ADAMTS15	8	0.196	0.702948748	0.344	0.429630089	0.146	0.582732106	0.189	0.785188741
ADAMTS16	9	0.042	0.497156927	0.038	0.741594432	0.319	0.025755112	0.196	0.638268593
ADAMTS17	9	-0.104	0.966279946	-0.558	0.83752458	0.233	0.746982367	0.097	0.795233153
ADAMTS18	9	0.013	0.654730322	0.069	0.857185821	-0.045	0.835322015	0.506	0.264425468
ADAMTS19	8	0.311	0.317428195	0.344	0.235619714	0.005	0.884410888	0.172	0.817299645
ADAMTS2	9	0.437	0.207858715	-0.034	0.87589315	-0.067	0.998626146	-0.036	0.941211972
ADAMTS20	9	0.106	0.754414473	0.180	0.246955962	0.224	0.556767415	0.076	0.651196477
ADAMTS3	10	0.193	0.242995473	0.487	0.037644784	0.101	0.864314979	0.135	0.552558938
ADAMTS4	7	-0.218	0.881257208	-0.195	0.917314435	-0.283	0.475377244	0.106	0.7647244
