libraryName	minReads	timepoint	guideCountPass	modFreq	wang	wuCrispr	chariRaw	wangOrig	finalGg	crisprScan	finalGc6	chariRank	doench	drsc	ssc	fusi
hart2016-Hct1162lib1	300	T12B	2163	1.000	0.320	nan	0.206	0.311	0.080	0.169	0.049	0.203	0.264	-0.011	0.305	0.370
hart2016-Hct1162lib1	300	T12A	2163	1.000	0.322	nan	0.237	0.311	0.084	0.169	0.065	0.229	0.269	0.037	0.295	0.366
hart2016-Hct1162lib1	300	T18B	2163	1.000	0.272	nan	0.184	0.263	0.063	0.123	0.072	0.179	0.225	0.033	0.230	0.314
hart2016-Hct1162lib1	300	T18C	2163	1.000	0.289	nan	0.203	0.286	0.078	0.148	0.070	0.198	0.223	0.029	0.254	0.330
hart2016-Hct1162lib2	0	Avg	3617	1.000	0.311	nan	0.175	0.312	0.071	0.147	0.083	0.164	0.234	0.048	0.243	0.315
hart2016-Hct1162lib2	0	T15C	3617	1.000	0.260	nan	0.139	0.259	0.052	0.126	0.048	0.132	0.197	0.037	0.204	0.276
hart2016-Hct1162lib2	0	T15A	3617	1.000	0.270	nan	0.148	0.271	0.056	0.110	0.032	0.139	0.207	0.018	0.200	0.271
hart2016-Hct1162lib2	0	T15B	3617	1.000	0.261	nan	0.140	0.260	0.052	0.125	0.084	0.134	0.190	0.041	0.200	0.255
hart2016-Hct1162lib2	0	T08A	3617	1.000	0.236	nan	0.143	0.238	0.071	0.113	0.101	0.130	0.189	0.053	0.184	0.222
hart2016-Hct1162lib2	0	T08B	3617	1.000	0.240	nan	0.142	0.241	0.075	0.131	0.107	0.129	0.175	0.054	0.198	0.227
hart2016-Hct1162lib2	0	T08C	3617	1.000	0.248	nan	0.119	0.247	0.069	0.116	0.095	0.109	0.197	0.060	0.195	0.241
hart2016-Hct1162lib2	0	T18A	3617	1.000	0.249	nan	0.145	0.251	0.049	0.129	0.058	0.137	0.184	0.037	0.194	0.270
hart2016-Hct1162lib2	0	T12C	3617	1.000	0.276	nan	0.153	0.280	0.050	0.110	0.053	0.144	0.213	0.023	0.217	0.279
hart2016-Hct1162lib2	0	T12B	3617	1.000	0.237	nan	0.134	0.243	0.049	0.133	0.073	0.126	0.186	0.036	0.189	0.249
hart2016-Hct1162lib2	0	T12A	3617	1.000	0.275	nan	0.166	0.275	0.074	0.140	0.035	0.157	0.191	0.040	0.215	0.265
hart2016-Hct1162lib2	0	T18B	3617	1.000	0.255	nan	0.141	0.259	0.066	0.112	0.071	0.131	0.192	0.038	0.189	0.271
hart2016-Hct1162lib2	0	T18C	3617	1.000	0.263	nan	0.153	0.258	0.046	0.111	0.074	0.146	0.190	0.039	0.211	0.272
hart2016-Hct1162lib2	100	Avg	3266	1.000	0.329	nan	0.186	0.330	0.075	0.155	0.100	0.175	0.238	0.049	0.259	0.332
hart2016-Hct1162lib2	100	T15C	3266	1.000	0.280	nan	0.151	0.279	0.056	0.137	0.061	0.143	0.201	0.034	0.220	0.295
hart2016-Hct1162lib2	100	T15A	3266	1.000	0.285	nan	0.150	0.286	0.055	0.117	0.048	0.141	0.207	0.023	0.215	0.285
hart2016-Hct1162lib2	100	T15B	3266	1.000	0.279	nan	0.152	0.278	0.057	0.132	0.096	0.146	0.192	0.040	0.214	0.271
hart2016-Hct1162lib2	100	T08A	3266	1.000	0.253	nan	0.158	0.255	0.082	0.125	0.128	0.143	0.195	0.059	0.206	0.238
hart2016-Hct1162lib2	100	T08B	3266	1.000	0.252	nan	0.151	0.255	0.074	0.138	0.118	0.139	0.176	0.055	0.208	0.239
hart2016-Hct1162lib2	100	T08C	3266	1.000	0.271	nan	0.132	0.269	0.086	0.126	0.118	0.123	0.204	0.064	0.218	0.254
hart2016-Hct1162lib2	100	T18A	3266	1.000	0.263	nan	0.154	0.266	0.050	0.135	0.070	0.147	0.188	0.038	0.206	0.281
hart2016-Hct1162lib2	100	T12C	3266	1.000	0.293	nan	0.166	0.296	0.057	0.119	0.067	0.157	0.223	0.025	0.233	0.299
hart2016-Hct1162lib2	100	T12B	3266	1.000	0.256	nan	0.152	0.261	0.056	0.146	0.086	0.146	0.192	0.038	0.206	0.269
hart2016-Hct1162lib2	100	T12A	3266	1.000	0.289	nan	0.175	0.289	0.073	0.142	0.050	0.166	0.197	0.038	0.231	0.280
hart2016-Hct1162lib2	100	T18B	3266	1.000	0.273	nan	0.148	0.277	0.070	0.119	0.085	0.137	0.195	0.037	0.197	0.286
hart2016-Hct1162lib2	100	T18C	3266	1.000	0.273	nan	0.157	0.268	0.045	0.109	0.083	0.150	0.198	0.041	0.219	0.286
hart2016-Hct1162lib2	300	Avg	2150	1.000	0.338	nan	0.209	0.336	0.084	0.173	0.121	0.201	0.232	0.041	0.264	0.363
hart2016-Hct1162lib2	300	T15C	2150	1.000	0.288	nan	0.165	0.284	0.059	0.147	0.081	0.163	0.198	0.021	0.220	0.324
hart2016-Hct1162lib2	300	T15A	2150	1.000	0.297	nan	0.168	0.294	0.060	0.141	0.077	0.160	0.202	0.021	0.224	0.312
hart2016-Hct1162lib2	300	T15B	2150	1.000	0.291	nan	0.176	0.286	0.073	0.161	0.113	0.171	0.189	0.034	0.227	0.303
hart2016-Hct1162lib2	300	T08A	2150	1.000	0.274	nan	0.197	0.272	0.093	0.133	0.153	0.184	0.192	0.042	0.220	0.274
hart2016-Hct1162lib2	300	T08B	2150	1.000	0.281	nan	0.178	0.277	0.083	0.158	0.130	0.169	0.183	0.059	0.219	0.283
hart2016-Hct1162lib2	300	T08C	2150	1.000	0.293	nan	0.167	0.292	0.110	0.143	0.150	0.156	0.208	0.061	0.223	0.290
hart2016-Hct1162lib2	300	T18A	2150	1.000	0.274	nan	0.183	0.274	0.046	0.160	0.087	0.176	0.192	0.034	0.219	0.306
hart2016-Hct1162lib2	300	T12C	2150	1.000	0.309	nan	0.194	0.309	0.087	0.148	0.085	0.185	0.223	0.020	0.251	0.334
hart2016-Hct1162lib2	300	T12B	2150	1.000	0.271	nan	0.181	0.271	0.065	0.149	0.114	0.177	0.196	0.044	0.222	0.317
hart2016-Hct1162lib2	300	T12A	2150	1.000	0.297	nan	0.187	0.292	0.073	0.154	0.076	0.180	0.200	0.029	0.242	0.302
hart2016-Hct1162lib2	300	T18B	2150	1.000	0.277	nan	0.148	0.281	0.070	0.119	0.093	0.142	0.184	0.026	0.191	0.316
hart2016-Hct1162lib2	300	T18C	2150	1.000	0.283	nan	0.181	0.281	0.058	0.143	0.094	0.176	0.188	0.035	0.224	0.311
hart2016-HelaLib1	0	Avg	4256	1.000	0.318	nan	0.181	0.315	0.098	0.138	0.061	0.177	0.223	0.006	0.258	0.329
hart2016-HelaLib1	0	T15C	4256	1.000	0.242	nan	0.131	0.240	0.078	0.113	0.026	0.127	0.167	-0.004	0.193	0.242
hart2016-HelaLib1	0	T15A	4256	1.000	0.237	nan	0.155	0.231	0.085	0.106	0.055	0.154	0.171	0.002	0.191	0.253
hart2016-HelaLib1	0	T15B	4256	1.000	0.227	nan	0.121	0.230	0.046	0.094	0.036	0.120	0.153	0.004	0.172	0.240
hart2016-HelaLib1	0	T08A	4256	1.000	0.248	nan	0.142	0.246	0.093	0.113	0.059	0.142	0.173	0.012	0.220	0.260
hart2016-HelaLib1	0	T08B	4256	1.000	0.219	nan	0.124	0.215	0.075	0.099	0.083	0.120	0.163	0.014	0.198	0.232
hart2016-HelaLib1	0	T08C	4256	1.000	0.223	nan	0.097	0.223	0.056	0.083	0.041	0.093	0.156	-0.007	0.177	0.217
hart2016-HelaLib1	0	T18A	4256	1.000	0.237	nan	0.156	0.231	0.085	0.106	0.053	0.155	0.171	0.001	0.190	0.253
hart2016-HelaLib1	0	T12C	4256	1.000	0.251	nan	0.140	0.251	0.074	0.104	0.036	0.138	0.167	0.007	0.199	0.256
hart2016-HelaLib1	0	T12B	4256	1.000	0.254	nan	0.141	0.254	0.087	0.106	0.035	0.137	0.177	0.021	0.222	0.254
hart2016-HelaLib1	0	T12A	4256	1.000	0.237	nan	0.148	0.230	0.078	0.105	0.060	0.146	0.171	0.004	0.189	0.250
hart2016-HelaLib1	0	T18B	4256	1.000	0.226	nan	0.121	0.229	0.045	0.094	0.037	0.120	0.155	0.003	0.171	0.239
hart2016-HelaLib1	0	T18C	4256	1.000	0.242	nan	0.131	0.240	0.078	0.113	0.026	0.127	0.167	-0.004	0.193	0.242
hart2016-HelaLib1	100	Avg	4018	1.000	0.328	nan	0.185	0.326	0.097	0.140	0.073	0.181	0.226	0.011	0.259	0.333
hart2016-HelaLib1	100	T15C	4018	1.000	0.253	nan	0.133	0.252	0.074	0.116	0.041	0.130	0.170	0.004	0.196	0.243
hart2016-HelaLib1	100	T15A	4018	1.000	0.244	nan	0.159	0.238	0.083	0.103	0.059	0.156	0.171	0.003	0.191	0.252
hart2016-HelaLib1	100	T15B	4018	1.000	0.232	nan	0.126	0.235	0.044	0.096	0.043	0.124	0.158	0.000	0.169	0.244
hart2016-HelaLib1	100	T08A	4018	1.000	0.256	nan	0.144	0.253	0.091	0.114	0.072	0.143	0.174	0.018	0.221	0.264
hart2016-HelaLib1	100	T08B	4018	1.000	0.224	nan	0.129	0.220	0.074	0.106	0.083	0.124	0.165	0.016	0.199	0.239
hart2016-HelaLib1	100	T08C	4018	1.000	0.236	nan	0.105	0.237	0.060	0.086	0.053	0.100	0.165	-0.002	0.182	0.227
hart2016-HelaLib1	100	T18A	4018	1.000	0.244	nan	0.161	0.238	0.083	0.103	0.057	0.158	0.172	0.003	0.191	0.253
hart2016-HelaLib1	100	T12C	4018	1.000	0.260	nan	0.143	0.260	0.074	0.107	0.051	0.141	0.168	0.012	0.198	0.257
hart2016-HelaLib1	100	T12B	4018	1.000	0.264	nan	0.140	0.263	0.085	0.109	0.042	0.136	0.180	0.027	0.221	0.255
