#Supplementary Data 13 - Total mutation rates observed in K562 with Cas9Sp nuclease				
#Gene	K562 (Control#1)	K562 (CAS9 + gRNA library only)	K562 (Control) - Read Count	K562 (Cas9 + gRNA library only) - Read Count
BDKRB2_chr14_96707280	0	0.321715818	1958	5595
BIRC3_chr11_102195778	0	0.080321285	1104	3735
BLM_chr15_91304359	1.265822785	0	316	676
BMPR1B_chr4_96044967	0	0.03531697	2602	5663
BMPR2_chr2_203383545	0	0.069783671	1697	5732
BRCA1_chr17_41243789	0	0	907	2102
BRD3_chr9_136918569	0	0	285	516
BRD4_chr19_15376421	0	0.737704918	647	2440
BRIP1_chr17_59886040	0	0	1502	1151
BUB1B_chr15_40457309	0	0.353312303	2399	7925
C2orf44_chr2_24262291	0	0.076785257	3511	11721
C3AR1_chr12_8212224	0	0	983	2713
C5AR1_chr19_47823234	0	0.180937372	5574	17133
C5AR2_chr19_47844066	0	0.262620368	926	3427
CACNA1A_chr19_13617011	0	0	1255	2818
CACNA1B_chr9_140772391	0	0.509592326	1428	3336
CACNA1C_chr12_2224421	0	0.244947949	653	1633
CACNA1E_chr1_181452990	0	0.055297501	4012	9042
CACNA1F_chrX_49088261	0	0.075930144	3454	10536
CACNA1G_chr17_48646234	0	0.238663484	367	1676
CACNA1H_chr16_1203966	0	0.226986129	1317	3965
CACNA1I_chr22_39994213	0	0.219659528	776	1821
CACNA1S_chr1_201061149	0	0.575313808	716	1912
CACNA2D1_chr7_81714089	0	0.132100396	700	1514
CACNA2D2_chr3_50513579	0	0	429	1720
CACNA2D3_chr3_54157580	0	0.219565748	2634	8198
CACNA2D4_chr12_2024075	0	0.10630005	4665	14111
CACNB1_chr17_37347735	0	0.042180744	4405	9483
CACNB3_chr12_49212716	0.070972321	0.151327555	2818	7269
CACNB4_chr2_152955497	3.394255875	0.298370438	1149	4357
CACNG1_chr17_65040944	0	0	435	1336
CACNG2_chr22_37098562	0.249376559	0.572939621	802	2269
CACNG4_chr17_65021067	0	0	436	1184
CACNG5_chr17_64873516	0	0.493218249	945	3244
CACNG6_chr19_54496269	0	0.103092784	882	2910
CACNG7_chr19_54417755	0	0	357	1060
CACNG8_chr19_54483196	0	0.875656743	1021	2284
CANT1_chr17_76993385	0	0.529891304	2366	7360
CARD11_chr7_2987320	0	0.400282552	1827	4247
CARS_chr11_3062141	0	0.074092368	1532	4049
CASC5_chr15_40914351	0	0.217357553	2217	6441
CASR_chr3_121980478	0	0	1558	5268
CBFA2T3_chr16_88968014	0	0.171919771	692	1745
CBFB_chr16_67063314	0	0.497677505	772	3014
CBL_chr11_119144587	0	0.196270854	1138	3057
CBLB_chr3_105586350	0.146092038	0.421940928	1369	2370
CBLC_chr19_45281274	0	0.187207488	1173	3205
CCDC6_chr10_61666004	0	0.155642023	1084	2570
CCKAR_chr4_26491051	0.140944327	0.063653724	1419	3142
CCKBR_chr11_6281179	0	0.26296018	1687	5324
CCND1_chr11_69456116	0	0.079720977	7775	20070
CCND2_chr12_4383221	0	0.292887029	2341	4780
CCND3_chr6_41909270	0.103950104	0.170357751	1924	4109
CCR1_chr3_46245615	0	0.352112676	1890	6532
CCR10_chr17_40832562	0	0.108853411	2421	5512
CCR2_chr3_46399020	0	0.096107641	1895	4162
CCR3_chr3_46307210	0	0.37593985	1233	1596
CCR4_chr3_32995099	0	0	1374	2875
CCR6_chr6_167549852	0	0	460	1283
CCR7_chr17_38711954	0	0.176613886	6118	16420
CCR9_chr3_45942451	0	0.053734551	2535	3722
CCRL2_chr3_46449576	0	0	220	395
CD27_chr12_6559446	0	0.247106256	2531	7689
CD274_chr9_5457360	0	0.038476337	2349	7797
CD74_chr5_149786858	0	0	1164	1959
CD79A_chr19_42383165	0	0.201159626	3079	8451
CD79B_chr17_62007723	0	0.110192837	2521	7260
CD97_chr19_14512258	0	1.617440225	908	2844
CDC73_chr1_193091351	0.189393939	0.285388128	1056	1752
CDH1_chr16_68772250	0	0.064092293	934	6241
CDH11_chr16_65038550	0	0.154559505	1767	4529
CDK12_chr17_37618378	1.098901099	0.271575136	1638	3314
CDK4_chr12_58145086	0	0.187818621	1581	3727
CDK6_chr7_92462589	0	0.087535014	1747	5712
CDKN2A_chr9_21994268	0.035587189	0.048	5620	12500
CDX2_chr13_28543053	0	0	3722	10313
CEBPA_chr19_33793296	0	0	62	116
CELSR1_chr22_46932910	0	0.142531357	2626	7016
CELSR2_chr1_109792797	0.099304866	0.112275449	2014	5344
CELSR3_chr3_48699903	0	0.174637292	2563	7444
CFTR_chr7_117149122	0	0.270027003	1451	5555
CHEK2_chr22_29130560	0	0	1110	2113
CHIC2_chr4_54930386	0	0.132380196	1188	3777
CHN1_chr2_175711766	0	0	612	1239
CHRM1_chr11_62678311	0	0.073410659	2211	6811
CHRM2_chr7_136700625	0	0.318549375	1550	4081
CHRM3_chr1_240070910	0	0.061392738	3952	11402
CHRM4_chr11_46408042	0	0.608695652	707	2300
CHRM5_chr15_34354937	0	0.272232305	233	1102
CHRNA1_chr2_175624323	0	0.552486188	775	1629
CHRNA10_chr11_3690509	0	0.447427293	701	1341
CHRNA2_chr8_27327343	0	0.15936255	1354	2510
CHRNA3_chr15_78911168	0	0.208855472	935	2394
CHRNA4_chr20_61990969	0	0.28922632	298	1383
CHRNA5_chr15_78882209	0	0.112485939	2774	8001
CHRNA6_chr8_42620246	0	0.244648318	522	1635
CHRNA7_chr15_32322835	0	0	67	112
CHRNA9_chr4_40339265	0	0	1738	4815
CHRNB1_chr17_7348646	0	0.224767205	2793	9343
CHRNB2_chr1_154543833	0	0	314	1090
CHRNB3_chr8_42585748	0	0.034831069	2604	5742
CHRNB4_chr15_78923501	0	0.163576881	1800	1834
CHRND_chr2_233391300	0	0.033211558	2510	6022
CHRNE_chr17_4805588	0	0.135013501	590	2222
CHRNG_chr2_233404760	0	0.194959925	4605	13849
CIC_chr19_42793464	0	0.443341018	3479	11278
CIITA_chr16_10995926	0	0	3343	6181
CLCA1_chr1_86948011	0	0	260	519
CLCA2_chr1_86905867	0	0.109090909	1335	2750
CLCA4_chr1_87033271	0	0	795	2930
CLCN1_chr7_143013384	0	0	1263	2622
CLCN2_chr3_184079212	0	0.189701897	1055	3690
CLCN3_chr4_170581536	0	0	566	958
CLCN4_chrX_10153135	0	1.400381922	608	1571
CLCN5_chrX_49806995	0	0.147710487	1182	3385
CLCN6_chr1_11883772	0	0.054664723	3893	10976
CLCN7_chr16_1515311	0	0.480591497	3014	10820
CLIC1_chr6_31698685	0.119510009	0.095929834	3347	7297
CLIC3_chr9_139890113	0	0.125786164	804	2385
CLIC5_chr6_45922956	0	0	398	1251
CLIC6_chr21_36041838	0	0.616522811	1474	4866
CLP1_chr11_57427281	0	0.281690141	675	1065
CLTC_chr17_57724856	0	0	143	212
CLTCL1_chr22_19263203	0	0.289813071	4004	13802
CMKLR1_chr12_108686085	0	0.078060627	8300	23059
CNGA1_chr4_47938824	0	0.159780872	2095	4381
CNGA2_chrX_150911917	0	0.100532824	2966	9947
CNGA3_chr2_98994171	0	0	1100	2030
CNGA4_chr11_6261341	0	0.473036897	200	1057
CNGB1_chr16_58001058	0	0	82	346
CNGB3_chr8_87680282	0	0.157547981	2090	6982
CNOT3_chr19_54647978	0	0	28	143
CNR1_chr6_88854441	0	0.792199878	632	1641
CNR2_chr1_24201910	0	0.229042602	5288	15281
CNTFR_chr9_34564803	0	0	38	185
CNTRL_chr9_123902987	0	0	865	2535
COL1A1_chr17_48278809	0	0.131779017	5840	9865
COX6C_chr8_100904180	0	0.778210117	363	257
CREB1_chr2_208424986	0	0.354358611	335	1411
CREB3L1_chr11_46299668	0	0.204475747	2945	8803
CREBBP_chr16_3929838	0	0.266587678	1398	3376
CRHR1_chr17_43912034	0	0.302343159	691	1323
CRHR2_chr7_30721551	0	0.12070006	684	3314
CRTC1_chr19_18882255	0	0.166216497	1977	4813
CRTC3_chr15_91083300	0	0.189138071	1046	3701
CSF1R_chr5_149460507	0	0.187207488	1490	3205
CSF2RB_chr22_37325741	0	0.022258495	3885	13478
CSF3R_chr1_36938254	0	0.106483673	3550	8452
CTNNB1_chr3_41266954	0.053163211	0.081547064	5643	17168
CXCR3_chrX_70837413	0	0	123	188
CXCR4_chr2_136873192	0	0.054562815	3213	7331
CXCR5_chr11_118754656	0	0	208	764
CXCR6_chr3_45988493	0	1.743462017	170	803
CYLD_chr16_50783723	0	0.467508181	1933	6417
CYSLTR1_chrX_77529187	0	0.04592071	3370	6533
CYSLTR2_chr13_49281652	0	0.328947368	233	608
DARC_chr1_159175579	0	0.232303908	2640	7318
DDB2_chr11_47236722	0	0.153217569	2314	5874
DDR2_chr1_162729604	0	0.06943239	1471	5761
DDX5_chr17_62502206	0	0.201180258	2785	7456
DEK_chr6_18250048	0	0.119173729	2633	7552
DICER1_chr14_95596403	0	0	488	1509
DNM2_chr19_10828974	0	0.172532781	703	2898
DNMT3A_chr2_25505556	0	1.515151515	0	132
DNTTIP1_chr20_44424002	0	0	1215	1662
EBF1_chr5_158523386	0	0.061437641	1831	4883
ECT2L_chr6_139164128	0	0	1152	2378
EDAR_chr2_109546671	0	0.186120713	1382	3761
EDNRA_chr4_148461533	0	0.07217611	1044	2771
EDNRB_chr13_78493656	0.049603175	0.38376667	4032	10423
EGF_chr4_110866249	0	0	224	1098
EGFR_chr7_55086971	0	0.405092593	606	1728
ELK4_chr1_205589569	0.323101777	0	619	2344
ELL_chr19_18632793	0	0.166343222	950	3607
EML4_chr2_42490378	0	0.205218411	1799	6822
EMR3_chr19_14772891	0	0.181317087	4071	13788
EP300_chr22_41489011	0	0	139	1682
EPHA1_chr7_143098593	0	0	475	1148
EPHA2_chr1_16475317	0	0.240096038	1098	3332
EPHA3_chr3_89156935	0	0	281	1920
EPHA4_chr2_222429010	0	0	930	3286
EPHA5_chr4_66509116	0	0	848	2773
EPHA6_chr3_96533585	0.100351229	0.102915952	1993	5830
EPHA7_chr6_94120834	0	0.072886297	1313	4116
EPHA8_chr1_22902806	0.259067358	0.419287212	772	1908
EPHB1_chr3_134670310	0.940438871	0	319	1395
EPHB2_chr1_23110981	0	0.25010421	629	2399
EPHB3_chr3_184290590	0	0.220125786	1121	3180
EPHB4_chr7_100421316	0	0.181069959	1844	6075
EPHB6_chr7_142561404	0	0.210058075	2151	8093
EPOR_chr19_11492715	0	0.22484903	5240	15566
EPS15_chr1_51937374	0	0.285364859	1455	4906
ERBB2_chr17_37864711	0	0.254854369	2478	8240
ERBB3_chr12_56477568	0	0.031220731	904	6406
ERBB4_chr2_213403206	0.152905199	0.169319336	1308	2953
ERC1_chr12_1137138	0	0.512820513	257	975
ERCC2_chr19_45873468	0.146986771	0.642349163	2041	4359
ERCC3_chr2_128051260	0	0.479041916	1466	3340
ERCC4_chr16_14014038	0	0	1061	4379
ERCC5_chr13_103510643	0	0	34	212
ERG_chr21_39817476	0	0.309734513	2059	4520
ESR1_chr6_152129085	0	0.154539601	3907	7765
ESR2_chr14_64746818	0	0.086107922	1200	3484
ESRRB_chr14_76905811	0	0.337711069	1612	2665
ESRRG_chr1_216850646	0	0.227790433	423	1317
ETV1_chr7_13975398	0	0.423131171	205	709
ETV4_chr17_41622707	0	0.153038916	1204	4574
ETV5_chr3_185783777	0	0	301	1074
ETV6_chr12_12022434	0	0	1998	6174
EWSR1_chr22_29695707	0	0	583	972
EXT1_chr8_119122970	0	0.211148649	850	2368
EXT2_chr11_44117807	0.093457944	0.249465431	2140	5612
EZH2_chr7_148523688	0	0.09976721	1706	6014
EZR_chr6_159208212	0	0.115207373	1912	5208
F2R_chr5_76012160	0	0.261938344	3264	9926
F2RL2_chr5_75914407	0	0	1042	2740
F2RL3_chr19_17000067	0	0.087374399	780	2289
FANCA_chr16_89882997	0	0.285877644	2448	6996
FANCC_chr9_97873772	0	0.090909091	760	2200
FANCD2_chr3_10081494	0	0.149751549	4785	14691
FANCE_chr6_35420491	0	0	86	516
FANCF_chr11_22647249	0	0.272540186	6068	17979
FANCG_chr9_35079443	0	0	1218	1905
FBXO11_chr2_48132833	0	0.692840647	684	1299
FBXW7_chr4_153303456	0	0.158874262	1696	4406
FCRL4_chr1_157557180	0	0	145	556
FEV_chr2_219846915	0	0.113811885	5412	12301
FFAR1_chr19_35842484	0	0.190597205	845	3148
FFAR2_chr19_35940835	0	0.630914826	262	317
FFAR4_chr10_95326507	0	0.171086399	1171	3507
FGFR1_chr8_38275832	0	0.60324826	1370	4310
FGFR1OP_chr6_167416690	0	0	531	2069
FGFR3_chr4_1803216	0	0.355555556	563	1125
FGFR4_chr5_176517551	0	0.1507443	1896	5307
FH_chr1_241682912	0	0.343681334	7043	17749
FHIT_chr3_59999793	0	0.278344776	2203	5389
FIP1L1_chr4_54244017	0	0	1040	2747
FLCN_chr17_17131408	0	0.523168909	1089	2676
FLI1_chr11_128628040	0	0	859	2268
FLT1_chr13_29012380	0	0.809716599	968	2223
FLT3_chr13_28674625	0	0.274187231	795	2553
FLT4_chr5_180058732	0	0.206916938	981	3383
FNBP1_chr9_132719710	0	0	556	1128
FOXL2_chr3_138665352	0	0.188908379	2955	7411
FOXO1_chr13_41240184	0	0.197072072	2944	7104
FOXO4_chrX_70316416	0	0.226404415	2280	7067
FOXP1_chr3_71247439	0	0	166	518
FPR2_chr19_52272336	0	0.082236842	1191	2432
FPR3_chr19_52327228	0	0.064061499	1512	4683
FSHR_chr2_49210072	0	0	64	26
FSTL3_chr19_680276	0	0.14137606	1095	4244
FUBP1_chr1_78428479	0	0.233972859	777	2137
FUS_chr16_31195211	0	0.153229609	2773	8484
FZD1_chr7_90894214	0.044593088	0.125156446	4485	11186
FZD10_chr12_130647688	0	0.060548977	4490	14864
FZD2_chr17_42635373	0	0.157356412	4711	11439
FZD4_chr11_86665941	0	0.17873101	1870	10071
FZD5_chr2_208633019	0	0.268751527	1391	4093
FZD6_chr8_104312479	0	0.115307005	2072	6938
FZD7_chr2_202899717	0	0	3092	8239
FZD8_chr10_35930287	0	0	1191	3753
FZD9_chr7_72848392	0	0.103626943	667	2895
GABBR1_chr6_29598301	0	0.283553875	1442	3174
GABBR2_chr9_101470770	0	0.295194238	2380	8469
GABRA1_chr5_161281236	0.1179941	0.083623693	1695	7175
GABRA2_chr4_46252583	0	0.587659158	2338	3063
GABRA3_chrX_151532930	0	0	707	2130
GABRA4_chr4_46995409	0	0.207273412	2726	5307
GABRA5_chr15_27126084	0	0	0	14
GABRB1_chr4_47034436	0	0.209643606	443	1431
GABRB2_chr5_160973391	0	0.131319764	2460	6092
GABRB3_chr15_27017830	0	0.258064516	265	775
GABRD_chr1_1956387	0	0.528541226	1284	3784
GABRE_chrX_151131062	0.838135149	0	1909	4690
GABRG1_chr4_46060576	0	0.581039755	1042	3270
GABRG2_chr5_161524708	0	0.440528634	698	2043
GABRG3_chr15_27216712	0	0.160085379	735	1874
GABRP_chr5_170216142	0	0.131665569	738	1519
GABRQ_chrX_151806766	0	0.307110796	1098	4233
GABRR1_chr6_89926935	0	1.081081081	256	555
GABRR2_chr6_90009545	0.25	0	1200	5127
GALR1_chr18_74962577	0	0.273847558	858	2191
GALR2_chr17_74070965	0	0.435674013	1578	3902
GALR3_chr22_38220765	0	0.027570995	2906	7254
GAS7_chr17_9923154	0	0.108898569	2317	6428
GATA1_chrX_48650291	0	0.264375413	768	1513
GATA2_chr3_128205845	0	0.171722954	1957	5241
GATA3_chr10_8097626	0	0	93	195
GCGR_chr17_79769294	0	0.058633832	4713	13644
GHRHR_chr7_31009490	0	0.161290323	3195	9920
GHSR_chr3_172166173	0	0.071581961	3054	8382
GIPR_chr19_46173895	0	0	113	255
GLP1R_chr6_39025261	0	0.144383483	1081	3463
GLRA1_chr5_151239543	0	0.078226858	1717	3835
GLRA2_chrX_14548185	0	0.267379679	506	1122
GLRA4_chrX_102979166	0	0.589390963	154	509
GLRB_chr4_158065081	0	0.218758545	2492	7314
GNA11_chr19_3114954	0	0.059695553	2756	10051
GNAS_chr20_57415213	0	0.393700787	444	2286
GOLGA5_chr14_93275695	0	0	2282	6670
GOPC_chr6_117923356	0	0.174367916	720	2294
GPBAR1_chr2_219127537	0	0.246669956	1340	2027
GPC3_chrX_133119446	0	0.135079579	5946	17027
GPER_chr7_1131625	0	1.158301158	504	2072
GPHN_chr14_66975253	0	0.231544538	2276	7342
GPR1_chr2_207041017	0	0	627	1131
GPR101_chrX_136113719	0	0	1024	2874
GPR110_chr6_46977763	0	0.210614996	762	2374
GPR111_chr6_47650058	0	0.080857085	2216	4947
GPR112_chrX_135405025	0	0	313	1700
GPR113_chr2_26569073	0	0.263574064	2832	9485
GPR115_chr6_47682064	0	0.04459806	2673	8969
GPR116_chr6_46849820	0	0	236	497
GPR119_chrX_129519072	0	0	1407	4383
GPR12_chr13_27333933	0	0.203804348	575	1472
GPR123_chr10_134910575	0	0.113410831	2224	7054
GPR124_chr8_37655026	0	0.240601504	1393	3325
GPR125_chr4_22414950	0	0	99	215
GPR126_chr6_142688773	0	0.136054422	1429	3675
GPR128_chr3_100352109	0	0.589496249	464	1866
GPR132_chr14_105518363	0	0	777	1602
GPR133_chr12_131439174	0	0	93	357
GPR135_chr14_59931803	0	0.207900208	1311	2886
GPR139_chr16_20043741	0	0.072332731	1886	5530
GPR142_chr17_72363845	0.132100396	0.118600514	2271	5059
GPR143_chrX_9733777	0	0.095026924	4802	12628
GPR144_chr9_127214931	0	0.045459711	2515	8799
GPR146_chr7_1097534	0.072992701	0.043585646	2740	6883
GPR148_chr2_131486939	0	0.863557858	187	579
GPR150_chr5_94955994	0	0.069613644	1107	2873
GPR151_chr5_145895385	0	0.122068184	3813	11469
GPR152_chr11_67219656	0	0.032168132	3638	9326
GPR153_chr1_6314725	0	0.573457127	1244	3662
GPR156_chr3_119886981	0	0.333907798	2574	9284
GPR157_chr1_9189031	0	0	573	1032
GPR158_chr10_25464466	0.044020543	0.069809652	6815	21487
GPR161_chr1_168105500	0	0.093044894	2006	4299
GPR162_chr12_6933096	0	0.418082049	1571	3827
GPR17_chr2_128408507	0	0.158177792	5874	15805
GPR171_chr3_150916788	0	0	935	953
GPR173_chrX_53105850	0.146056475	0.526315789	2054	6270
GPR174_chrX_78426836	0	0.087458457	2340	5717
GPR176_chr15_40212169	0	0	1037	2244
GPR18_chr13_99907740	0	0.284225486	2971	8444
GPR182_chr12_57389219	0	0.129659643	946	3085
GPR19_chr12_12814318	0	0.013134564	4765	15227
GPR20_chr8_142367715	0	0	1762	5538
GPR22_chr7_107115383	0	0.10460251	378	1912
GPR25_chr1_200842201	0	0.319488818	405	1878
GPR26_chr10_125426057	0	0.281543726	9648	23087
GPR27_chr3_71803201	0	0.167628981	1753	5369
GPR3_chr1_27720654	0	0.168488842	9597	26708
GPR31_chr6_167571156	0	0	477	2008
GPR32_chr19_51273916	0	0.104668202	1884	4777
GPR34_chrX_41554966	0.050025013	0.134740624	3998	13359
GPR35_chr2_241570077	0	0.051576776	3972	13572
GPR37_chr7_124404992	0	0.086918731	5311	16107
GPR37L1_chr1_202096964	0	0.037439161	3558	10684
GPR39_chr2_133175219	0	0.02598415	2646	7697
GPR4_chr19_46095079	0	0.371807307	1676	6186
GPR45_chr2_105858758	0	0.152235966	3709	10510
GPR50_chrX_150345277	0	0	933	2189
GPR55_chr2_231775359	0	0	2679	5859
GPR56_chr16_57685206	0	0	598	1760
GPR6_chr6_110300535	0	1.410105758	577	1702
GPR61_chr1_110085826	0	0	134	349
GPR62_chr3_51989998	0	0.115562404	1070	2596
GPR63_chr6_97247570	0	0.100025006	1564	3999
GPR64_chrX_19025404	0	0	458	1743
GPR65_chr14_88477505	0.070721358	0.102040816	2828	7840
GPR68_chr14_91701347	0	0.051639556	4665	11619
GPR78_chr4_8582828	0	0	644	2063
GPR82_chrX_41586620	0	0.698174006	622	1862
GPR83_chr11_94134045	0	0.074218388	4792	10779
GPR84_chr12_54757558	0	0.125256206	3640	8782
GPR85_chr7_112724671	0	0.22675737	346	1323
GPR87_chr3_151012895	0	1.654601861	439	967
GPR88_chr1_101004618	0.044702727	0.066984845	4474	11943
GPR97_chr16_57718351	0	0.606980273	1023	2636
GPRC5A_chr12_13061198	0	0.280583614	1404	1782
GPRC5B_chr16_19884020	0	0.214756865	1990	6519
GPRC5D_chr12_13103148	0	0	671	1696
GPRC6A_chr6_117127536	0	0.035229875	2036	5677
GRIA1_chr5_153026704	0	0	408	891
GRIA2_chr4_158142830	0.275482094	0.108225108	726	1848
GRIA3_chrX_122318426	0	0	117	282
GRIA4_chr11_105483067	0	0.076394194	927	2618
GRID1_chr10_88123830	0	0	1126	2033
GRID2_chr4_93225857	0	0.392927308	114	509
GRIK1_chr21_31311705	0	0	331	928
GRIK2_chr6_102074483	0	0.125234815	377	1597
GRIK3_chr1_37356673	0	0.722175021	734	2354
GRIK4_chr11_120531031	0	0.315366972	1558	3488
GRIK5_chr19_42569375	0	0.22296544	2839	7176
GRIN1_chr9_140033946	0	0.035460993	5022	14100
GRIN2A_chr16_9984855	0	0.708628595	863	2399
GRIN2B_chr12_14019001	0	0	320	943
GRIN2C_chr17_72848474	0	0.038763446	6799	20638
GRIN2D_chr19_48901817	0	0.284010224	2810	7042
GRIN3A_chr9_104500046	0	0.215130871	1037	2789
GRIN3B_chr19_1000635	0	0	947	3090
GRM1_chr6_146350743	0	0.068665599	3891	8738
GRM2_chr3_51743260	0	0	2537	6842
GRM3_chr7_86394633	0	0.350175088	794	1999
GRM4_chr6_34100914	0	0.411061286	717	2676
GRM5_chr11_88386475	0	1.086956522	420	920
GRM6_chr5_178421822	0	1.073017535	1380	3821
GRM7_chr3_6903177	0	0.182906551	2289	6014
GRM8_chr7_126883184	0	0.12207528	1838	4915
GRPR_chrX_16142133	0	0.280437095	4261	10341
HCAR1_chr12_123214856	0	0.332225914	714	1806
HCN1_chr5_45696155	0	0.09044658	2820	8845
HCN2_chr19_603759	0.134916352	0.314527226	3706	10174
HCN3_chr1_155252293	0	0.15128593	852	3305
HCN4_chr15_73660005	0	0.817822899	1079	3546
HCRTR1_chr1_32084889	0	0	366	950
HCRTR2_chr6_55039390	0	0	1384	4049
HERPUD1_chr16_56966174	0	0	221	563
HEY1_chr8_80679301	0	0	111	4
HIST1H3B_chr6_26032262	0	0.376151965	1588	5317
HLF_chr17_53345149	0	0.041643531	1960	7204
HNF4A_chr20_42984448	0	0.359023456	3275	8356
HNF4G_chr8_76470799	0	0	492	1113
HNRNPA2B1_chr7_26237313	0	0	371	1518
HOXA11_chr7_27224694	0	0.102040816	1328	3920
HOXA13_chr7_27239179	0	0.639464068	1058	3284
HOXA9_chr7_27204887	0	0.349533955	994	6008
HOXC11_chr12_54367080	0	0.149536437	3157	10031
HOXC13_chr12_54332729	0	0.436323971	1135	3667
HOXD11_chr2_176972084	0	0.096200096	1274	4158
HOXD13_chr2_176957833	0	0	610	1880
HRAS_chr11_533490	0	0	778	1662
HRH1_chr3_11300869	0	0.319770647	2782	9069
HRH2_chr5_175110361	0	0.104311544	755	2876
HRH3_chr20_60795004	0	0	809	2438
