#Supplementary Data 10 - Total mutation rates observed in 293T with Cas9Sp nuclease												
#Gene	293T (Control#1)	293T (CAS9 + gRNA library only)	293T (CAS9 + gRNA library + Artemis)	293T (CAS9 + gRNA library + TREX2)	293T (CAS9 + gRNA library + TdT)	293T (CAS9 + gRNA library + ddrA)	293T (Control#1) - Total Read Count	293T (CAS9 + gRNA library only) - Total Read Count	293T (CAS9 + gRNA library + Artemis) - Total Read Count	293T (CAS9 + gRNA library + TREX2) - Total Read Count	293T (CAS9 + gRNA library + TdT) - Total Read Count	293T (CAS9 + gRNA library + ddrA) - Total Read Count
ARHGAP26_chr5_142150335	0	1.07640727	1.234263145	4.702290076	1.724137931	1.022864019	1924	5667	4051	3275	2900	3324
ARHGEF12_chr11_120298841	0	0.349206349	0.780335544	1.962708538	0.257234727	0.500834725	1261	3150	2563	2038	1555	1797
ARID1A_chr1_27023186	0	1.039411	0.320307495	0.243111831	0	0	871	2309	1561	1234	1056	1109
ARNT_chr1_150830829	0.079082641	0.412857564	0.46587468	0.721292556	0.540906018	0.411913815	2529	6782	4293	3466	2958	3156
ASIC1_chr12_50452585	0	3.017972194	2.468458585	5.34591195	2.587923026	2.644067797	1322	2949	1823	1590	1507	1475
ASIC2_chr17_32483445	0	1.11629795	0.181928441	0.892477688	0.412465628	0.265816055	1848	4927	3298	2353	2182	1881
ASIC3_chr7_150746033	0	1.010665921	0.465727251	0.832500833	0.605143722	0.661193054	9700	25033	16748	12012	11898	13763
ASIC4_chr2_220379188	0	0.907289603	0.63550346	1.23290742	0.792988314	0.475285171	3604	9589	7081	4461	4792	5260
ASIC5_chr4_156784776	0	0.287218765	0.359195402	0.146627566	0.186741363	0.233281493	848	2089	1392	1364	1071	1286
ASPSCR1_chr17_79935570	0.034746352	1.772319947	1.146189423	1.81021072	1.217590603	1.003525902	5756	15065	9946	7071	6981	7374
ASXL1_chr20_31017717	0	0.389882084	0.307503075	0.485000898	0.395339159	0.143266476	3517	10516	6504	5567	4806	4886
ATF1_chr12_51203342	0	0.739910314	0.964878425	3.123732252	0.653266332	0.755857899	1419	4460	2591	2465	1990	1323
ATIC_chr2_216177226	0	0.150715901	0.524658972	0.587544066	0	1.515151515	463	1327	953	851	692	462
ATM_chr11_108098387	0	0	0	0.938967136	0	0	223	574	426	426	293	166
ATRX_chrX_76939487	0	0	0.379403794	0.224971879	0	0.322580645	998	3100	1845	1778	1162	930
AVPR1A_chr12_63544475	0	0.307692308	0.365024058	1.033181005	0.154901527	0.37933526	3214	10075	6027	5033	4519	5536
AVPR1B_chr1_206224578	0	1.172888237	0.960363192	1.369285865	0.897496457	0.25789813	3186	8867	5727	4747	4234	4653
AVPR2_chrX_153171258	0	0.154394299	0.092816039	0	0	0.096548395	3030	8420	5387	4340	4279	4143
AXIN1_chr16_396971	0	1.716500554	1.192199608	1.592050433	1.071385578	1.140723841	6961	16254	11743	9359	8307	9643
AXL_chr19_41737159	0	1.056338028	1.769087523	4.606946984	0.552486188	0.747663551	1842	4828	3222	2735	2353	2675
BAI1_chr8_143545709	0	1.039802267	1.388394446	3.13794202	0.433576136	0.878499107	5031	11733	8427	6278	5766	6716
BAI2_chr1_32222183	0	1.696469509	1.992031873	4.988399072	0.974025974	2.091713596	871	2181	1506	862	924	1243
BAI3_chr6_69665954	0	0.337600225	0.323864162	0.55797344	0.260824204	0.356949703	5775	14218	10807	8961	7668	9245
BCL11A_chr2_60773135	0	0.082610492	0	0	0	0	818	2421	1721	1447	1162	1308
BCL11B_chr14_99724132	0	0.27835769	2.302535704	2.302100162	0.453608247	0.350877193	1859	5748	3431	2476	2425	2565
BCL2_chr18_60985591	0	1.662049862	1.771653543	3.712296984	0	1.88172043	352	722	508	431	401	372
BCL3_chr19_45259572	0	1.834862385	1.92165558	4.14507772	0.733368256	1.183932347	1473	3924	2706	1930	1909	2365
BCL6_chr3_187451455	0.063959066	1.333841463	1.992110454	5.502670072	1.495430629	1.308539945	3127	7872	5070	4307	3611	4356
BCL7A_chr12_122460008	0	3.105263158	2.003484321	4.255319149	0.377833753	1.550387597	857	1900	1148	1175	794	1032
BCL9_chr1_147091035	0	0.633540373	0.51915503	0.370289697	0.333555704	0.334579807	3280	8050	5586	4591	4497	5081
BCOR_chrX_39937147	0.057962614	0.987983979	0.812468911	1.232166018	1.04091888	0.923178371	6901	18725	12062	9252	8358	9099
BCR_chr22_23523150	0	1.704035874	0.523982265	1.185958254	1.270325203	1.41509434	1538	4460	2481	2108	1968	2120
BDKRB1_chr14_96730211	0	1.578354002	1.18751726	1.122781601	1.467820851	1.651940069	2018	5322	3621	2761	2657	2603
BDKRB2_chr14_96707280	0	0.602651667	0.343495062	1.130079346	0.585480094	0.679916318	2816	7467	4658	4159	3416	3824
BIRC3_chr11_102195778	0	1.869585043	3.577764636	3.71253406	2.028698664	2.003514938	1991	4386	3382	2936	2021	2845
BLM_chr15_91304359	0	1.708542714	1.370878103	4.973221117	1.225359616	2.082347373	1667	3980	2699	1307	1877	2113
BMPR1B_chr4_96044967	0	1.063563564	1.21055765	1.495568685	0.553122839	0.525464834	3165	7992	5039	5416	4339	2474
BMPR2_chr2_203383545	0.128452152	0.262812089	0.205385669	0.907392581	0.216785382	0.149737959	3114	7610	8764	3747	3229	4007
BRCA1_chr17_41243789	0	0	0	0	0.171379606	0	1016	2993	1666	1653	1167	1038
BRD3_chr9_136918569	0	4.062229905	4.756756757	11.95652174	3.579418345	2.868852459	444	1157	925	644	447	488
BRD4_chr19_15376421	0	0.125156446	0.108813928	0	0	0	1104	3196	1838	1693	1320	1593
BRIP1_chr17_59886040	0	0.206978119	0.390015601	1.307596513	0.341685649	0	1249	3382	2564	1606	1756	912
BUB1B_chr15_40457309	0	0.516173434	0.442593075	0.562610513	0.402661064	0.288267512	4292	11624	7682	6221	5712	6938
C2orf44_chr2_24262291	0	2.076802508	1.745936183	2.185089974	2.088414634	1.448490592	5515	15312	9966	7780	6560	7387
C3AR1_chr12_8212224	0	1.675213675	5.682347462	3.376477209	1.187648456	1.79028133	1149	2925	2147	1777	1263	782
C5AR1_chr19_47823234	0	0.653731719	0.6436152	1.352951125	0.714860155	0.753745749	7444	23863	14605	11826	11191	10879
C5AR2_chr19_47844066	0	0.269784173	0	0.18818216	0.122649223	0.232288037	1637	5560	3352	2657	2446	2583
CACNA1A_chr19_13617011	0	0.729927007	0.330033003	1.510146295	0.105097215	0.462320851	1439	4247	2727	2119	1903	2163
CACNA1B_chr9_140772391	0	0.595647194	0.270910938	0.77851304	0.669045495	0.657894737	1745	4365	2953	2569	2242	2432
CACNA1C_chr12_2224421	0	0	0.248911014	0.448833034	0	0.338983051	912	2235	1607	1114	1255	1180
CACNA1E_chr1_181452990	0	2.892249527	2.409455978	3.543613707	2.344714109	2.06031092	4158	10580	6599	5136	4862	5339
CACNA1F_chrX_49088261	0	0.467051011	0.994435894	1.81460121	0.482490272	0.406917599	5006	13703	8447	7109	6425	6881
CACNA1G_chr17_48646234	0	0.431406385	0.319284802	0.330305533	0.572831424	0.435729847	809	2318	1566	1211	1222	1377
CACNA1H_chr16_1203966	0.082406263	0.176366843	0.373134328	1.00050025	0.207591934	0.43053961	2427	6804	4824	3998	3372	3484
CACNA1I_chr22_39994213	0	1.521933751	0.408997955	1.453224342	0.325732899	1.074306177	912	2234	1467	1101	1228	1117
CACNA1S_chr1_201061149	0	0.326264274	0.690335306	0.205620288	0	0.603864734	1149	3678	2028	1459	1496	1656
CACNA2D1_chr7_81714089	0	1.64305949	1.974723539	2.65638389	0.196850394	0.504413619	738	1765	1266	1167	1016	793
CACNA2D2_chr3_50513579	0	0.430239705	2.374169041	3.884711779	0.689655172	0.445930881	720	1627	1053	798	870	897
CACNA2D3_chr3_54157580	0	0.460735822	1.218274112	0.540105723	0.434664493	0.370096225	5997	14759	9850	8702	7362	8106
CACNA2D4_chr12_2024075	0	0.028893383	0.083447125	0.277728006	0.055258795	0.088276836	7550	20766	13182	11162	10858	11328
CACNB1_chr17_37347735	0	5.269211415	3.056903852	3.64298725	3.598137435	4.031620553	5949	13911	9683	7686	7087	7590
CACNB3_chr12_49212716	0.04519774	0.803998262	0.487494701	0.856697819	0.513977686	0.604594921	4425	13806	9436	7704	7977	8270
CACNB4_chr2_152955497	0.09765625	1.860932981	0.817487116	1.615753598	0.808427242	1.040763226	3072	7953	5627	3961	4082	4612
CACNG1_chr17_65040944	0	2.298850575	3.127171647	4.499540863	4.04475043	0.491642085	712	2001	1439	1089	1162	1017
CACNG2_chr22_37098562	0.156862745	0.748580279	0.971266694	1.58045977	0.773694391	1.055555556	1275	3874	2471	2088	1551	1800
CACNG4_chr17_65021067	0	1.807549176	0.733496333	5.014191107	1.987447699	1.998001998	707	1881	1227	1057	956	1001
CACNG5_chr17_64873516	0	3.707544724	2.417659425	3.660797034	2.317198764	2.534021586	1715	3857	2854	2158	1942	2131
CACNG6_chr19_54496269	0	0.391964723	0.33271719	1.408450704	0.692594566	0.226244344	1420	4082	2705	2272	1877	2210
CACNG7_chr19_54417755	0	4.935526901	1.972555746	4.400345125	3.382663848	3.654188948	991	2249	1166	1159	946	1122
CACNG8_chr19_54483196	0	1.814734561	1.051051051	3.105934554	1.546906188	1.424936387	1720	3692	2664	1803	2004	1965
CANT1_chr17_76993385	0	0.281485517	0.297914598	0.58373591	0.303490137	0.338155176	3997	11013	7049	4968	5272	5323
CARD11_chr7_2987320	0	1.0906298	2.171814672	4.933920705	1.36122178	1.268810859	2394	6510	4144	3405	3012	3389
CARS_chr11_3062141	0	0.027517887	0	0	0.053262317	0	2714	7268	5163	3492	3755	4201
CASC5_chr15_40914351	0	0.113708149	0.095712098	0.107874865	0.075301205	0	2845	7915	5224	4635	3984	2896
CASR_chr3_121980478	0	1.12605042	1.18652112	2.209646995	0.983050847	0.98340504	2495	5950	4214	3711	2950	3254
CBFA2T3_chr16_88968014	0	4.336947456	3.896103896	8.922558923	4.948453608	3.350515464	1002	2398	1463	1188	970	1164
CBFB_chr16_67063314	0	1.638104839	1.127089001	2.435233161	2.206287921	1.46809712	1376	3968	2573	1930	1813	1771
CBL_chr11_119144587	0	0.45379538	0.588812561	0.761324705	0.385604113	0.280561122	1615	4848	3057	2627	2334	2495
CBLB_chr3_105586350	0	0.123127437	0.067636118	0	0.081599347	0.076863951	1627	4873	2957	2544	2451	2602
CBLC_chr19_45281274	0.158982512	0.782818145	1.340931948	2.126821583	0.315315315	1.115879828	1887	4982	2983	2539	2220	2330
CCDC6_chr10_61666004	0	0.859598854	1.73564753	3.245436105	1.437986818	1.195899772	1322	3490	2247	1972	1669	1756
CCKAR_chr4_26491051	0	0.825183374	0.856734888	1.665741255	1.05090312	1.156232375	2504	6544	4202	3602	3045	3546
CCKBR_chr11_6281179	0	0.739581852	1.026733824	1.919385797	0.978980708	0.505272408	2758	7031	5162	4168	3473	4552
CCND1_chr11_69456116	0.016891892	1.789161611	1.212945336	3.239426871	1.159660385	1.271049745	11840	29008	18385	14447	14487	15499
CCND2_chr12_4383221	0	0.430338892	0.310008857	0.50802139	0.551844322	0.215343203	2587	7436	4516	3740	3443	3715
CCND3_chr6_41909270	0	1.073910297	0.893091673	1.867413632	0.502706883	0.79392475	2035	6332	3807	3213	2586	2897
CCR1_chr3_46245615	0	0.240506329	0.148336512	0.506329114	0.107816712	0.161160355	2627	7900	4719	3950	3710	3723
CCR10_chr17_40832562	0.116618076	1.277302337	3.00630063	5.597653385	1.479438315	0.971083297	3430	7829	5555	4091	3988	4634
CCR2_chr3_46399020	0	0.344126388	0.416016641	0.556206089	0.142247511	0.092965603	2395	6393	3846	3416	2812	3227
CCR3_chr3_46307210	0	0.587412587	0.694160882	1.0320478	0.725952813	0.852713178	1335	3575	2449	1841	1653	1290
CCR4_chr3_32995099	0	1.695230999	1.704035874	3.917438922	1.691729323	1.422129726	2188	5368	3345	2374	2660	2883
CCR6_chr6_167549852	0	1.522070015	1.530153015	4	0.443131462	0.829383886	548	1314	1111	700	677	844
CCR7_chr17_38711954	0.020962163	0.073556455	0.093327112	0.117733628	0.053987352	0.100966393	9541	27190	17144	13590	12966	13866
CCR9_chr3_45942451	0	0.097118809	0.274035168	0.729927007	0.133645172	0.116414435	2200	6178	4379	3014	2993	3436
CCRL2_chr3_46449576	0	1.835664336	3.270042194	5.616438356	5.686546463	6.596701649	594	1144	948	730	721	667
CD27_chr12_6559446	0	1.834504294	4.916113929	7.107469512	1.415006516	1.224281585	4872	10248	7689	5248	5371	5881
CD274_chr9_5457360	0.052042675	0.602019079	1.422498365	1.221166893	0.290396183	0.511322133	3843	10797	6116	5896	4821	5476
CD74_chr5_149786858	0	0.936402653	3.311649911	3.342816501	0.768639508	0.575953924	1050	2563	1691	1406	1301	1389
CD79A_chr19_42383165	0	1.470292044	2.589750617	2.847873107	0.848293549	1.0724365	4576	9930	7298	5548	5069	5315
CD79B_chr17_62007723	0	0.312360553	0.852588657	1.88612727	0.157618214	0.31496063	4617	11205	8093	5673	5710	6350
CD97_chr19_14512258	0	0.838658147	1.291679183	2.392739274	1.207327227	0.544402858	1891	5008	3329	2424	2402	2939
CDC73_chr1_193091351	0	0.72262368	1.322525597	0.631458094	0.539811066	0.938086304	1161	3598	2344	1742	1482	1599
CDH1_chr16_68772250	0	0.511261572	0.663082437	0.866089274	0.192771084	0.495750708	2293	7237	5580	3002	4150	4236
CDH11_chr16_65038550	0	0.729749453	0.371816323	0.83291267	0.128733265	0.583876039	2937	8222	5379	3962	3884	4453
CDK12_chr17_37618378	0	0.068019499	0.081592689	0.560538117	0.139049826	0.097732604	3203	8821	6128	3568	4315	5116
CDK4_chr12_58145086	0	0.269590223	0.051626226	0.197563385	0	0	2206	5564	3874	3037	2803	2920
CDK6_chr7_92462589	0	7.117248705	4.944063515	5.179922072	5.816493719	4.933455714	2793	7531	5542	4363	3662	4358
CDKN2A_chr9_21994268	0	1.485976396	0.651910249	1.509849015	0.88337469	1.006206507	7557	20929	13192	10001	10075	10634
CDX2_chr13_28543053	0	0.735662933	0.660550459	1.706642066	0.95282004	0.594375181	5134	11962	8175	6504	6507	6898
CEBPA_chr19_33793296	0	3.042328042	1.918465228	7.142857143	3.385416667	3.818615752	344	756	417	224	384	419
CELSR1_chr22_46932910	0	0.524957736	0.748847926	1.982539105	0.720865038	0.469924812	3717	11239	6944	5498	4994	5320
CELSR2_chr1_109792797	0	1.321537789	1.183598704	1.592115239	1.051329623	0.856283268	4269	9156	7097	3957	4851	4321
CELSR3_chr3_48699903	0	1.178707224	2.045621781	2.710413695	0.959508732	1.152838428	4383	10520	6795	5608	5211	5725
CFTR_chr7_117149122	0	0.037327361	0.156862745	0	0	0	2259	5358	3825	3495	2458	3441
CHEK2_chr22_29130560	0	1.390820584	1.288515406	3.125	0.805270864	1.232876712	1032	2876	1785	1568	1366	1460
CHIC2_chr4_54930386	0	1.297485286	0.65546907	0.93723374	0.836699365	0.698924731	2417	7476	4882	3521	3466	3720
CHN1_chr2_175711766	0	0.731359258	0.331624962	3.716381418	0.14831294	0.583090379	1834	5606	3317	2045	2697	2058
CHRM1_chr11_62678311	0	0.985428242	0.635489653	1.302521008	0.420075171	0.654817587	3111	9539	6137	4760	4523	4276
CHRM2_chr7_136700625	0	0.435571688	0.9194159	1.837873318	0.883080184	0.281293952	2077	5510	3698	3047	2831	2844
CHRM3_chr1_240070910	0	0.410230113	0.420825993	1.254275941	0.434467777	0.471527022	5891	15601	10218	7893	6905	8271
CHRM4_chr11_46408042	0	3.224351747	2.273534636	5.895489058	2.698348772	3.534551231	1961	4435	2815	2239	2483	2518
CHRM5_chr15_34354937	0	0.348128808	1.08974359	1.15990058	0.822669104	0.308008214	751	2298	1560	1207	1094	974
CHRNA1_chr2_175624323	0	0.668896321	0.439882698	1.078680203	0.664010624	0.904392765	1093	3289	2046	1576	1506	1548
CHRNA10_chr11_3690509	0	0.556637907	1.780874952	2.219040802	0.386349002	0.461095101	1373	3593	2583	1397	1553	1735
CHRNA2_chr8_27327343	0	0.919589393	0.906908509	1.148409894	0.817661488	0.563909774	2029	4676	3749	2264	2446	2128
CHRNA3_chr15_78911168	0	4.174852652	2.5950783	4.55311973	5.273566249	3.580729167	1393	4072	2235	1779	1517	1536
CHRNA4_chr20_61990969	0	0.878003697	0.467653936	0.680933852	0.939457203	0.804289544	689	2164	1283	1028	958	1119
CHRNA5_chr15_78882209	0	0.270785277	0.832342449	1.324503311	0.21978022	0.186185068	4128	9971	6728	5889	5005	5371
CHRNA6_chr8_42620246	0	1.136582547	1.499167129	6.483565961	0.672202452	0.764818356	2229	5191	3602	2221	2529	2615
CHRNA9_chr4_40339265	0	0.726759952	1.067899267	3.254716981	0.598404255	0.443693218	37	237	126	97	61	82
CHRNB1_chr17_7348646	0	0.720180045	0.233796597	0.757575758	0.604940346	0.574088441	3397	9219	6274	4240	4512	4733
CHRNB2_chr1_154543833	0	1.986218079	3.399615138	3.919781222	1.100513573	0.761614623	4725	13330	7699	6072	5951	6445
CHRNB3_chr8_42585748	0	2.655728587	2.912621359	3.91868724	2.051866629	1.9921875	1056	2467	1559	1097	1363	1313
CHRNB4_chr15_78923501	0	0.784955029	3.212755831	5.708582834	0.682593857	0.852099817	3306	7192	5047	4083	3509	2560
CHRND_chr2_233391300	0	2.622662818	4.092745477	7.524583155	2.059134108	2.006615215	2387	6115	4202	2505	3223	3286
CHRNE_chr17_4805588	0	3.559547572	1.708150317	2.972136223	2.004008016	2.183984116	3469	7969	5693	4678	3788	4535
CHRNG_chr2_233404760	0	0.792815113	1.9268971	2.718767199	0.865119937	0.588898634	1109	3006	2049	1615	1497	1511
CIC_chr19_42793464	0	0.144660705	0.031515916	0.15327628	0.245511739	0.101613108	6043	16145	10068	9085	7629	7981
CIITA_chr16_10995926	0	1.514823631	2.964484884	4.853128991	0.995305164	1.133984648	5381	15208	9519	7829	6517	7873
CLCA1_chr1_86948011	0	0.650195059	0	1.479915433	1.081081081	0	4052	9242	6814	4698	5325	5732
CLCA2_chr1_86905867	0	3.592666006	3.258462512	6.244796003	3.205741627	3.43980344	276	769	532	473	370	200
CLCA4_chr1_87033271	0	0.201793722	0.810910431	1.844761573	0.36939314	0.282220132	1775	4036	3161	2402	2090	1221
CLCN1_chr7_143013384	0	0.953137411	1.303616484	2.062822316	0.797209766	0.863382428	1258	4460	2713	2873	1895	1063
CLCN2_chr3_184079212	0	1.074777041	1.189689359	1.810637495	0.434404865	0.662983425	1495	3777	2378	2133	2007	1969
CLCN3_chr4_170581536	0.264550265	0	0.713648528	2.042801556	0.255427842	0.526315789	1779	4373	3026	2651	2302	2715
CLCN4_chrX_10153135	0	0.134408602	0.13986014	0	0.515463918	0.21141649	756	1604	1121	1028	783	380
CLCN5_chrX_49806995	0	0.943636827	0.845974329	0.831600832	1.299951854	0.548112058	807	2232	1430	1205	1164	1419
CLCN6_chr1_11883772	0	1.082564611	1.992914083	3.359978323	0.82593112	1.017811705	1564	3921	3428	2886	2077	3284
CLCN7_chr16_1515311	0	0.070944348	0.060110604	0.055991041	0.062131097	0.108847769	5657	13117	9032	7381	6417	7074
CLIC1_chr6_31698685	0	0.967530338	2.327981651	4.806502916	1.285583104	0.572351042	4666	12686	8318	7144	6438	6431
CLIC3_chr9_139890113	0	1.813544914	4.461538462	7.467362924	1.681195517	0.951427141	5592	12196	8720	5659	6534	6814
CLIC5_chr6_45922956	0	3.24300311	5.526116578	13.08411215	2.058504875	0.979431929	1601	3529	2600	1915	1606	1997
CLIC6_chr21_36041838	0.108725197	0.49250301	0.563473649	1.454856654	0.633847454	0.681019332	989	2251	1321	1177	923	1021
CLP1_chr11_57427281	0	0.701754386	1.883701884	1.630988787	0.73452256	0.174672489	3679	9137	6034	4674	4733	4552
CLTCL1_chr22_19263203	0	0.357702862	0.326797386	0.808550186	0.153358552	0.205953941	794	1710	1221	981	953	1145
CMKLR1_chr12_108686085	0	2.254510852	2.932470949	3.430113052	2.002512377	2.307746429	257	519	537	157	203	77
CNGA1_chr4_47938824	0	0.27697762	0.208768267	0.214336747	0.445806631	0.387346675	7981	20408	12852	10760	9781	10682
CNGA2_chrX_150911917	0	0.086092197	0.15884653	0	0.11711561	0	10990	27323	18244	15568	13533	14213
CNGA3_chr2_98994171	0	0.249625562	0.464285714	1.104972376	0.2	0.251509054	2746	9026	4790	4199	3589	3098
CNGA4_chr11_6261341	0	1.401273885	1.263297872	3.103448276	0.907258065	0.988142292	4539	12777	8184	6663	5977	6740
CNGB1_chr16_58001058	0	1.463414634	5.107526882	3.616636528	0	2.352941176	1436	4006	2800	2172	2000	1988
